texture	size	rgba_avg	pixels	rgb_stddev	stddev
jack_o_lantern.png	16x16	214,152,52,0	256	37.430,53.291,46.021	45.580
composter_side.png	16x16	112,70,31,0	256	37.080,27.672,20.840	28.531
frosted_ice_0.png	16x16	140,181,252,32	256	17.073,11.172,1.670	9.972
red_terracotta.png	16x16	143,61,46,0	256	2.507,2.159,1.800	2.155
potatoes_stage0.png	16x16	58,129,40,0	15	21.299,30.479,3.262	18.346
beetroots_stage3.png	16x16	93,91,30,0	116	45.750,52.246,16.221	38.072
end_rod.png	16x16	205,196,185,0	66	56.327,56.721,52.670	55.239
lilac_top.png	16x16	154,125,147,0	75	62.410,22.362,77.262	54.011
orange_concrete.png	16x16	224,97,0,0	256	0.920,0.942,0.973	0.945
tripwire_hook.png	16x16	142,133,118,0	46	20.981,13.835,27.126	20.647
dead_brain_coral_block.png	16x16	124,117,114,0	256	22.424,21.588,19.976	21.329
slime_block.png	16x16	0,0,2,0	256	0.000,0.000,1.292	0.431
fire_coral.png	16x16	166,37,46,0	109	38.334,12.432,6.994	19.253
white_stained_glass_pane_top.png	16x16	246,246,246,12	32	6.871,6.871,6.871	6.871
soul_torch.png	16x16	109,115,89,0	20	56.732,65.664,75.727	66.041
loom_side.png	16x16	145,101,72,0	256	33.607,37.204,19.311	30.041
structure_block_data.png	16x16	79,65,80,0	256	71.854,59.632,71.120	67.535
loom_bottom.png	16x16	76,60,36,0	256	19.855,15.677,8.639	14.723
dried_kelp_bottom.png	16x16	50,58,38,0	256	36.542,33.461,31.220	33.741
red_tulip.png	16x16	89,128,32,0	49	65.106,43.941,18.273	42.440
gray_concrete_powder.png	16x16	76,81,84,0	256	4.780,6.087,6.059	5.642
brain_coral.png	16x16	197,84,152,0	112	29.300,34.572,26.830	30.234
crimson_nylium.png	16x16	130,31,31,0	256	21.268,22.101,22.122	21.830
sweet_berry_bush_stage2.png	16x16	59,88,56,0	145	39.597,30.251,21.869	30.573
potatoes_stage1.png	16x16	68,131,42,0	26	28.939,25.760,6.824	20.507
repeater.png	16x16	160,157,156,0	256	35.555,47.765,47.693	43.671
pink_wool.png	16x16	237,141,172,0	256	8.575,22.142,16.760	15.826
stripped_oak_log_top.png	16x16	160,129,77,0	256	22.050,17.884,14.028	17.988
lectern_front.png	16x16	129,100,55,0	256	44.192,37.028,27.559	36.260
redstone_ore.png	16x16	133,107,107,0	256	27.718,44.891,44.891	39.167
dropper_front.png	16x16	122,121,121,0	256	46.323,46.790,46.790	46.635
kelp_plant.png	16x320	86,130,42,0	1990	6.861,28.902,9.038	14.934
brown_stained_glass_pane_top.png	16x16	97,73,48,12	32	2.822,2.026,1.244	2.031
respawn_anchor_side3.png	16x16	47,30,66,0	256	46.152,37.553,51.643	45.116
tnt_top.png	16x16	142,62,53,0	256	71.956,42.122,44.111	52.730
dead_horn_coral_fan.png	16x16	134,125,121,0	94	19.524,20.662,19.860	20.015
respawn_anchor_side1.png	16x16	42,26,64,0	256	37.806,30.564,51.297	39.889
command_block_side.png	16x64	177,133,107,0	1024	37.604,39.758,54.689	44.017
soul_fire_0.png	16x512	51,192,197,0	4723	86.630,42.584,41.757	56.990
red_nether_bricks.png	16x16	69,7,9,0	256	21.930,7.475,8.105	12.503
cartography_table_side2.png	16x16	82,61,42,0	256	49.819,45.729,54.716	50.088
barrel_bottom.png	16x16	121,89,51,0	256	16.843,13.043,8.840	12.908
bookshelf.png	16x16	117,94,59,0	256	58.028,48.404,46.097	50.843
